profile_id,rec_rank,title,reason,cognitive_match,relevance_score,reasoning_quality,personalization_score,total
p01_calm,1,곰돌이 푸 다시 만나 행복해,지친 마음을 다독이는 따뜻한 회복감,힐링 욕구와 안정적 정서에 잘 맞음,,,,
p01_calm,2,로맨틱 홀리데이,가볍지만 이야기 몰입감 있는 로맨스,복잡하지 않고 편안한 해피엔딩 성향에 적합,,,,
p01_calm,3,꾸뻬씨의 행복여행,행복을 찾는 여정이 주는 위로,스토리 중심으로 잔잔한 치유를 주는 선택,,,,
p02_down,1,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",잔잔한 감정선과 오래 남는 여운,낮은 에너지에 맞는 부드러운 서사 중심 로맨스,,,,
p02_down,2,파주,묵직한 이야기와 금지된 감정의 여운,"비주얼보다 서사 우선, lingering 취향에 적합",,,,
p02_down,3,고령화 가족,가족극의 현실감과 따뜻한 웃음,처진 기분에 과하지 않게 풀어주는 이야기형 선택,,,,
p03_energy,1,미션 임파서블: 폴아웃,속도감 뛰어나고 이해 부담이 적음,낮은 인내도에 맞는 직관적 액션 쾌감,,,,
p03_energy,2,엘리멘탈,따뜻한 감정선과 화려한 비주얼,웜한 정서와 시각 우선 취향에 잘 맞음,,,,
p03_energy,3,아이언맨,스타일리시하고 경쾌한 히어로물,에너지 충전용으로 가볍게 몰입 가능,,,,
p04_neutral,1,미스터 빈의 홀리데이,가볍고 부담 없는 코미디,에너지·인내 요구가 낮아 편하게 보기 좋음,,,,
p04_neutral,2,로맨틱 홀리데이,잔잔하고 무난한 로맨틱 코미디,복잡도 낮고 편안한 감정선에 잘 맞음,,,,
p04_neutral,3,마이 블랙 미니드레스,현실감 있는 청춘 드라마 코미디,과한 자극 없이 일상적 재미를 제공,,,,
p05_story,1,기생충,이야기 밀도와 여운이 매우 강함,"스토리 우선, 높은 복합성 선호에 잘 맞음",,,,
p05_story,2,빅쇼트,복잡한 구조를 서사적으로 풀어냄,지적 몰입감과 긴 호흡 감상에 적합,,,,
p05_story,3,올드보이,강렬한 미스터리와 오래 남는 결말,복합적 서사와 lingering 엔딩 취향 반영,,,,
p06_visual,1,고질라: 킹 오브 몬스터,압도적 괴수 비주얼과 여운 있는 스케일,스토리보다 시청각 자극 우선 성향에 적합,,,,
p06_visual,2,더 퍼스트 슬램덩크,역동적 작화와 감정 여운이 강함,낮은 복잡도 선호에 맞는 직관적 몰입감,,,,
p06_visual,3,혹성탈출: 반격의 서막,묵직한 분위기와 완성도 높은 비주얼,잔상 남는 결말과 균형 잡힌 전개에 부합,,,,
p07_fast,1,그린 북,따뜻하고 유쾌한 이야기 흐름,낮은 인내도 편하게 따라갈 수 있는 해소형,,,,
p07_fast,2,블라인드 사이드,감정선이 분명한 실화 드라마,복잡하지 않고 안정적 결말 선호에 적합,,,,
p07_fast,3,혹성탈출: 진화의 시작,몰입감 있는 서사와 적당한 긴장감,이야기 우선 성향에 맞는 쉬운 SF 드라마,,,,
p08_complex,1,기생충,이야기 밀도 높고 여운이 강함,복합적 서사와 계층적 해석 욕구에 잘 맞음,,,,
p08_complex,2,라이프 오브 파이,서사 중심의 철학적 여운,잔잔하지만 깊은 의미를 곱씹기 좋은 선택,,,,
p08_complex,3,데스노트 : 라스트 네임,두뇌싸움 중심의 몰입감,높은 복잡도 선호와 스토리 우선 취향에 부합,,,,
p09_comfort,1,곰돌이 푸 다시 만나 행복해,따뜻하고 치유적인 가족 판타지,복잡하지 않고 정서 회복에 잘 맞음,,,,
p09_comfort,2,언터처블: 1%의 우정,이야기 중심의 유쾌한 우정 드라마,따뜻한 감정선과 분명한 관계 변화가 강점,,,,
p09_comfort,3,로맨틱 홀리데이,가볍게 몰입되는 안정적 로맨스,해피한 정서와 쉬운 서사로 편안하게 감상,,,,
p10_intense,1,미션 임파서블: 폴아웃,저복잡도에 몰입감 높은 액션,짧은 인내도 버티기 쉬운 직진형 전개,,,,
p10_intense,2,듄: 파트2,차갑고 압도적인 비주얼 SF,시각 우선 취향과 긴 여운에 잘 맞음,,,,
p10_intense,3,덩케르크,긴장감 강한 냉색 전쟁 체험,"차갑고 팽팽한 분위기, 높은 몰입감 제공",,,,
